Date,FTSE Canada NHA MBS 975 Index,Discount Mortgage Rate 5yr,Conventional Mortgage 5yr,CPI Inflation,Labour Market Indicator (LMI),Inflation Expectations Implicit in Real/Nominal Bond Spread,New housing Price Index,
2020-01-01,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-02,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-03,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-06,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-07,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-08,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-09,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-10,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-13,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-14,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-15,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-16,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-17,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-20,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-21,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-22,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-23,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-24,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-27,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-28,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-29,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-30,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-01-31,,2.49%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-03,,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-04,,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-05,157.6775,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-06,,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-07,157.7847,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-10,157.9148,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-11,157.8668,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-12,157.6998,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-13,157.7216,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-14,157.7983,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-18,157.9477,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-19,157.8668,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-20,157.9911,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-21,158.252,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-24,158.5109,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-25,158.591,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-26,158.5248,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-27,158.7512,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-02-28,159.0676,2.44%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-02,159.1376,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-03,159.7043,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-04,160.0108,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-05,160.345,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-06,160.721,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-09,161.164,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-10,161.0791,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-11,161.2766,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-12,161.2793,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-13,161.105,2.24%,5.19%,1.80%,8.10%,1.20%,0.50%,
2020-03-16,161.1859,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-17,160.7598,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-18,160.4094,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-19,160.4689,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-20,160.7245,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-23,161.0045,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-24,160.6904,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-25,160.6135,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-26,160.6787,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-27,161.1238,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-30,161.0922,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-03-31,161.1058,2.24%,5.04%,1.80%,8.10%,1.20%,0.50%,
2020-04-01,161.2314,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-02,161.2279,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-03,161.2161,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-06,161.0762,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-07,160.9264,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-08,160.869,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-09,161.0803,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-13,161.1641,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-14,161.2753,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-15,161.5524,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-16,161.6201,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-17,161.5692,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-20,161.5814,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
2020-04-21,161.6806,2.14%,5.04%,0.00%,13.10%,1.00%,1.10%,
